country_code,country,gdp_per_capita_current_usd,gdp_per_capita_current_usd_year,internet_users_pct,internet_users_pct_year,gdp_current_usd,gdp_current_usd_year,urban_population_pct,urban_population_pct_year,purchasing_power,digital_readiness,urban_retail_context,economic_scale,score_balanced,rank_balanced,score_digital_first,rank_digital_first,score_scale_led,rank_scale_led,rank_range,rank_stability
SGP,Singapore,94896.5621495988,2024,94.37757178,2024,572877260178.427,2024,100.0,2024,1.0,0.8556634031658202,1.0,0.2753357516414432,0.7827497887018158,1,0.8770157662721814,1,0.6522505987135224,1,0,stable
HKG,"Hong Kong SAR, China",54274.7547767073,2024,95.75536971,2024,408368682415.423,2024,100.0,2024,0.5495470013090099,0.9102516001990604,1.0,0.0,0.6149496503770175,2,0.7109295105278246,2,0.44644714029166105,3,1,scenario-sensitive
MYS,Malaysia,11874.4273684245,2024,98.0206059,2024,422227005428.688,2024,76.9170296648992,2024,0.07937209128552102,1.0,0.6247277396702323,0.0271452500072357,0.4328112702407473,3,0.5054403048847024,3,0.30303532869440675,4,1,scenario-sensitive
THA,Thailand,7386.63615126055,2024,90.86718789,2024,529385520941.539,2024,61.8689338391321,2024,0.02960722009912373,0.7165823933332446,0.38008275454856755,0.21111436285429497,0.33434668270880774,4,0.3582943518964719,4,0.2844268172139577,5,1,scenario-sensitive
IDN,Indonesia,4925.43644992666,2024,72.78075544,2024,1396301788461.69,2024,58.7509635387997,2024,0.0023151113146419313,0.0,0.32939223485979313,1.0,0.3329268365436088,5,0.16668873593208333,6,0.516341469234887,2,4,scenario-sensitive
VNM,Vietnam,4716.6599379632,2024,84.15,2024,476324572783.807,2024,38.4900703430176,2024,0.0,0.45044817432725814,0.0,0.1252054580323905,0.14391340808991215,6,0.1701774068177794,5,0.12390968226366444,6,1,scenario-sensitive
