country_code,country,purchasing_power,digital_readiness,urban_retail_context,economic_scale,score_international_brand,rank_international_brand,score_small_independent,rank_small_independent,score_ecommerce_cross_border,rank_ecommerce_cross_border
SGP,Singapore,1.0,0.8556634031658202,1.0,0.2753357516414432,0.8768667030627986,1,0.8988153190066912,1,0.6161664495049776,1
HKG,"Hong Kong SAR, China",0.5495470013090099,0.9102516001990604,1.0,0.0,0.6383213106089605,2,0.8195226203513792,2,0.46905534021052514,2
MYS,Malaysia,0.07937209128552102,1.0,0.6247277396702323,0.0271452500072357,0.3272075504806395,3,0.6546500026585358,3,0.4513889586153198,4
THA,Thailand,0.02960722009912373,0.7165823933332446,0.38008275454856755,0.21111436285429497,0.23067346917064466,5,0.4529640655270698,4,0.4035992803550713,5
IDN,Indonesia,0.0023151113146419313,0.0,0.32939223485979313,1.0,0.24985947054952679,4,0.1492806927208663,6,0.46670112287445387,3
VNM,Vietnam,0.0,0.45044817432725814,0.0,0.1252054580323905,0.0638256361375844,6,0.20896195134888568,5,0.23652172584547898,6
